color,x,y
Southern Germany,-6.607381394501007,-8.571990958232615
Southern Germany,-4.857136923812672,-13.32581943428043
Cities,-5.395564940530388,3.375611956382798
Southern Germany,-7.31868201084416,-8.752653338783485
Southern Germany,-7.362458962585132,-11.697245957962688
Cities,-5.166168529733119,2.2603317113674546
Cities,-0.7205694483028177,2.749098152605224
Southern Germany,-4.775475955006764,-16.218340198600053
Southern Germany,-6.254083263021755,-7.719033013116442
Southern Germany,-6.0107542000568674,-7.942855166199401
Southern Germany,-5.883425736495824,-6.7668958996059345
Southern Germany,-8.753291847656051,-13.230804534970716
Southern Germany,-5.38392656684109,4.616602386633954
Southern Germany,-6.2808584530688005,-10.16487066489408
Southern Germany,-6.514221440491092,-11.024374283512657
Southern Germany,-6.781199778525933,-11.314785918998917
Southern Germany,-8.336093900451095,-13.00164528447343
Southern Germany,-7.615756509831748,-12.239972691489529
Southern Germany,-8.74172597494378,-6.3022461727067025
Southern Germany,-6.944049740614317,-12.956024919662728
Southern Germany,-8.189108533180931,-9.626760896102567
Southern Germany,-6.963124437510997,2.3509206324793133
Southern Germany,-6.277006801822165,-12.12401367366418
Southern Germany,-8.989280426412673,-17.439815274219196
Southern Germany,-8.895087365221988,-10.987913028949196
Southern Germany,-8.921792067320915,-11.749121220795654
Southern Germany,-8.149325460889312,-13.245525446005363
Western Germany,4.784801148644371,3.3315246333281605
Western Germany,7.1286309457190145,-0.19435955659182835
Western Germany,7.298004931619583,-0.5806474143948986
Western Germany,6.9610989063688455,0.5794656583503057
